"","x"
"256",59.5833333333333
"257",49.9583333333333
"258",33.2307692307692
"259",46.5384615384615
"260",55.5
"261",38.1666666666667
"262",25.375
"263",26.5
"264",15.8695652173913
"265",34.125
"266",31.6666666666667
"267",41.9583333333333
"268",17.875
"269",40.4583333333333
"270",49.25
"271",63.0869565217391
"272",63.3333333333333
"273",33.9166666666667
"274",32.9583333333333
"275",41.5416666666667
"276",46.5416666666667
"277",39.625
"278",32.625
"279",29.3333333333333
"280",31.4166666666667
"281",47.4782608695652
"282",39
"283",37.75
"284",53.9166666666667
"285",43.6521739130435
"286",60.2916666666667
"287",51
"288",71.25
"289",52.3333333333333
"290",32.7916666666667
"291",30.125
"292",42.625
"293",46
"294",14.7826086956522
"295",24.4166666666667
"296",19.625
"297",92.7083333333333
"298",85.2916666666667
"299",60.5833333333333
"300",37.7916666666667
"301",37.0416666666667
"302",28.4166666666667
"303",53.8260869565217
"304",40.2916666666667
"305",25.2916666666667
"306",40.9166666666667
"307",73.7916666666667
"308",59.4782608695652
"309",36
"310",25.75
"311",18.1363636363636
"312",26.7916666666667
"313",29.3333333333333
"314",34
"315",31.7083333333333
"316",32.25
"317",40.8695652173913
"318",68.8333333333333
"319",30.5416666666667
"320",17.6666666666667
"321",40.2083333333333
"322",31.3478260869565
"323",40.5416666666667
"324",34.9583333333333
"325",34.8333333333333
"326",29.9583333333333
"327",72.1304347826087
"328",106.958333333333
"329",62.9583333333333
"330",31.2083333333333
"331",27.125
"332",49.6666666666667
"333",62.8
"334",62.2916666666667
"335",50.5833333333333
"336",51.6666666666667
"337",23.9166666666667
"338",72.375
"339",41.0833333333333
"340",48.8333333333333
"341",53.4090909090909
"342",25.5416666666667
"343",73.125
